38517427.747	3374898.316	2.857
38517427.516	3374898.382	2.855
38517427.315	3374898.437	2.853
38517427.103	3374898.492	2.851
38517426.902	3374898.547	2.850
38517426.700	3374898.613	2.848
38517426.489	3374898.668	2.846
38517426.277	3374898.734	2.844
38517426.076	3374898.790	2.842
38517425.864	3374898.856	2.841
38517425.653	3374898.911	2.839
38517425.442	3374898.977	2.839
38517425.230	3374899.043	2.838
38517425.019	3374899.109	2.838
38517424.808	3374899.176	2.837
38517424.568	3374899.253	2.837
38517424.347	3374899.319	2.838
38517424.135	3374899.385	2.838
38517423.924	3374899.440	2.838
38517423.732	3374899.506	2.839
38517423.521	3374899.573	2.839
38517423.309	3374899.628	2.840
38517423.098	3374899.694	2.841
38517422.877	3374899.760	2.842
38517422.637	3374899.826	2.843
38517422.426	3374899.892	2.844
38517422.214	3374899.958	2.845
38517422.003	3374900.014	2.846
38517421.792	3374900.080	2.847
38517421.581	3374900.135	2.849
38517421.369	3374900.201	2.851
38517421.168	3374900.256	2.853
38517420.956	3374900.322	2.854
38517420.745	3374900.377	2.856
38517420.543	3374900.432	2.859
38517420.332	3374900.499	2.861
38517420.121	3374900.554	2.863
38517419.919	3374900.609	2.865
38517419.708	3374900.664	2.867
38517419.506	3374900.719	2.869
38517419.275	3374900.785	2.872
38517419.035	3374900.851	2.874
38517418.834	3374900.906	2.876
38517418.622	3374900.962	2.878
38517418.421	3374901.017	2.879
38517418.180	3374901.072	2.880
38517417.969	3374901.127	2.882
38517417.767	3374901.182	2.883
38517417.556	3374901.237	2.883
38517417.335	3374901.292	2.885
38517417.124	3374901.347	2.886
38517416.913	3374901.391	2.887
38517416.701	3374901.446	2.887
38517416.480	3374901.501	2.889
38517416.260	3374901.556	2.889
38517416.048	3374901.611	2.890
38517415.789	3374901.678	2.891
38517415.539	3374901.744	2.891
38517415.318	3374901.799	2.891
38517415.059	3374901.854	2.891
38517414.838	3374901.920	2.891
38517414.608	3374901.975	2.891
38517414.387	3374902.030	2.891
38517414.127	3374902.096	2.891
38517413.868	3374902.151	2.891
38517413.638	3374902.206	2.890
38517413.436	3374902.261	2.889
38517413.215	3374902.316	2.888
38517413.013	3374902.372	2.887
38517412.783	3374902.427	2.886
38517412.552	3374902.482	2.885
38517412.351	3374902.537	2.884
38517412.120	3374902.592	2.884
38517411.918	3374902.647	2.882
38517411.717	3374902.702	2.881
38517411.477	3374902.757	2.880
38517411.275	3374902.812	2.879
38517411.073	3374902.867	2.878
38517410.871	3374902.922	2.876
