CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0500	5.0000	-0.0030	0.0000	-0.0064	18.0020
0.0000	0.0400	5.0000	-0.0431	0.0000	0.0025	17.9995
0.0000	0.0646	5.0000	0.0486	0.0000	0.0045	17.9991
0.0000	0.0500	5.0000	-0.0408	0.0000	-0.0170	18.0031
0.0000	0.0476	5.0000	-0.0224	0.0000	-0.0149	18.0012
0.0000	0.0424	5.0000	-0.0450	0.0000	-0.0069	17.9986
0.0000	0.0522	5.0000	-0.0146	0.0000	0.0172	17.9968
0.0000	0.0602	5.0000	0.0569	0.0000	0.0071	17.9986
0.0000	0.0500	5.0000	-0.0111	-0.0000	-0.0103	18.0015
0.0000	0.0402	5.0000	-0.0657	-0.0000	-0.0085	17.9987
0.0000	0.0583	5.0000	0.0035	-0.0000	0.0120	17.9977
0.0000	0.0527	5.0000	0.0154	-0.0000	-0.0007	18.0001
0.0000	0.0400	5.0000	-0.0938	-0.0000	0.0029	17.9994
0.0000	0.0700	5.0000	0.1381	-0.0000	0.0190	18.0054
0.0000	0.0500	5.0000	0.0251	-0.0000	-0.0300	18.0096
0.0000	0.0400	5.0000	-0.0394	-0.0000	-0.0389	18.0071
0.0000	0.0402	5.0000	-0.0638	-0.0000	-0.0121	18.0022
0.0000	0.0565	5.0000	0.0458	-0.0000	0.0060	18.0014
0.0000	0.0500	5.0000	-0.0027	-0.0000	-0.0079	18.0024
0.0000	0.0400	5.0000	-0.0430	-0.0000	0.0003	17.9999
0.0000	0.0639	5.0000	0.0453	-0.0000	0.0030	17.9994
0.0000	0.0500	5.0000	-0.0390	-0.0000	-0.0173	18.0031
0.0000	0.0470	5.0000	-0.0269	0.0000	-0.0150	18.0009
0.0000	0.0438	5.0000	-0.0392	0.0000	-0.0054	17.9985
0.0000	0.0508	5.0000	-0.0164	0.0000	0.0173	17.9968
0.0000	0.0608	5.0000	0.0618	0.0000	0.0086	17.9984
0.0000	0.0500	5.0000	-0.0114	0.0000	-0.0098	18.0014
0.0000	0.0405	5.0000	-0.0642	0.0000	-0.0079	17.9987
0.0000	0.0580	5.0000	0.0030	0.0000	0.0122	17.9977
0.0000	0.0530	5.0000	0.0162	0.0000	-0.0003	18.0000
0.0000	0.0400	5.0000	-0.0944	0.0000	0.0030	17.9994
0.0000	0.0700	5.0000	0.1381	0.0000	0.0190	18.0054
0.0000	0.0500	5.0000	0.0250	0.0000	-0.0299	18.0096
0.0000	0.0400	5.0000	-0.0395	0.0000	-0.0387	18.0070
0.0000	0.0402	5.0000	-0.0634	0.0000	-0.0120	18.0021
0.0000	0.0564	5.0000	0.0451	-0.0000	0.0061	18.0013
0.0000	0.0500	5.0000	-0.0027	-0.0000	-0.0076	18.0023
0.0000	0.0400	5.0000	-0.0430	-0.0000	0.0007	17.9998
0.0000	0.0640	5.0000	0.0458	-0.0000	0.0033	17.9993
0.0000	0.0500	5.0000	-0.0393	0.0000	-0.0172	18.0031
0.0000	0.0471	5.0000	-0.0262	-0.0000	-0.0150	18.0010
0.0000	0.0436	5.0000	-0.0401	-0.0000	-0.0056	17.9985
0.0000	0.0510	5.0000	-0.0162	-0.0000	0.0173	17.9968
0.0000	0.0607	5.0000	0.0610	-0.0000	0.0084	17.9984
0.0000	0.0500	5.0000	-0.0113	-0.0000	-0.0099	18.0014
0.0000	0.0405	5.0000	-0.0644	-0.0000	-0.0080	17.9987
0.0000	0.0580	5.0000	0.0030	-0.0000	0.0122	17.9977
0.0000	0.0529	5.0000	0.0161	-0.0000	-0.0004	18.0000
0.0000	0.0400	5.0000	-0.0944	-0.0000	0.0030	17.9994
0.0000	0.0700	5.0000	0.1381	0.0000	0.0190	18.0054
0.0000	0.0500	5.0000	0.0250	0.0000	-0.0299	18.0096
0.0000	0.0400	5.0000	-0.0395	0.0000	-0.0387	18.0070
