CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0404	5.0000	-0.0729	0.0000	-0.0007	17.9964
0.0000	0.0600	5.0000	0.0877	0.0000	0.0193	17.9975
0.0000	0.0500	5.0000	0.0014	-0.0000	0.0135	17.9994
0.0000	0.0538	5.0000	0.0107	0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0775	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0002	0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0017	0.0000	0.0043	17.9992
0.0000	0.0509	5.0000	0.0000	0.0000	0.0041	17.9992
0.0000	0.0513	5.0000	0.0036	0.0000	0.0040	17.9993
0.0000	0.0501	5.0000	-0.0043	0.0000	0.0032	17.9993
0.0000	0.0524	5.0000	0.0043	0.0000	0.0028	17.9994
0.0000	0.0500	5.0000	-0.0048	0.0000	0.0014	17.9993
0.0000	0.0520	5.0000	0.0104	0.0000	0.0033	17.9996
0.0000	0.0500	5.0000	-0.0068	0.0000	0.0019	17.9996
0.0000	0.0528	5.0000	0.0078	0.0000	0.0019	17.9998
0.0000	0.0500	5.0000	0.0012	0.0000	0.0006	18.0001
0.0000	0.0500	5.0000	-0.0043	0.0000	-0.0011	17.9998
0.0000	0.0410	5.0000	-0.0690	0.0000	0.0007	17.9963
0.0000	0.0700	5.0000	0.1648	0.0000	0.0197	18.0004
0.0000	0.0500	5.0000	0.0041	-0.0000	-0.0023	18.0044
0.0000	0.0400	5.0000	-0.0430	-0.0000	-0.0096	18.0017
0.0000	0.0507	5.0000	-0.0026	0.0000	0.0066	17.9985
0.0000	0.0530	5.0000	0.0169	0.0000	0.0080	17.9991
0.0000	0.0500	5.0000	-0.0072	0.0000	0.0043	17.9993
0.0000	0.0537	5.0000	0.0126	0.0000	0.0032	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0007	18.0004
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0025	18.0001
0.0000	0.0404	5.0000	-0.0731	0.0000	-0.0008	17.9964
0.0000	0.0600	5.0000	0.0877	0.0000	0.0192	17.9975
0.0000	0.0500	5.0000	0.0015	0.0000	0.0135	17.9994
0.0000	0.0538	5.0000	0.0106	0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
