CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.4900	20.8263	2.5108	0.0000	2.4367	45.8300
0.0000	0.4900	20.8551	2.4989	0.0000	2.4892	46.0100
0.0000	0.5000	20.8842	2.5703	0.0000	2.5000	46.1920
0.0000	0.5000	20.9131	2.5599	0.0000	2.4297	46.3764
0.0000	0.4900	20.9423	2.5040	0.0000	2.4401	46.5573
0.0000	0.4900	20.9713	2.4979	0.0000	2.4960	46.7372
0.0000	0.5000	21.0003	2.5524	0.0000	2.5000	46.9198
0.0000	0.5000	21.0293	2.5524	0.0000	2.4476	46.9198
0.0000	0.4900	21.0583	2.4950	0.0000	2.4393	47.2844
0.0000	0.4900	21.0872	2.4979	0.0000	2.5000	47.4642
0.0000	0.5007	21.1161	2.5562	0.0000	2.5000	47.6476
0.0000	0.5000	21.1453	2.5616	0.0000	2.4438	47.8320
0.0000	0.4900	21.1743	2.5021	0.0000	2.4384	48.0139
0.0000	0.4900	21.2032	2.4974	0.0000	2.4979	48.1938
0.0000	0.5002	21.2321	2.5606	0.0000	2.5000	48.3775
0.0000	0.5000	21.2613	2.5591	0.0000	2.4394	48.5618
0.0000	0.4900	21.2901	2.5051	0.0000	2.4409	48.7429
0.0000	0.4900	21.3192	2.4947	0.0000	2.4949	48.9226
0.0000	0.4900	21.3483	2.4947	0.0000	2.5000	48.9226
0.0000	0.5017	21.3774	2.5673	0.0000	2.4402	49.2892
0.0000	0.4900	21.4062	2.4970	0.0000	2.4327	49.4699
0.0000	0.4900	21.4353	2.4939	0.0000	2.5000	49.6494
0.0000	0.5020	21.4643	2.5580	0.0000	2.5000	49.8325
0.0000	0.5000	21.4933	2.5574	0.0000	2.4420	50.0169
0.0000	0.4900	21.5222	2.4855	0.0000	2.4426	50.1990
0.0000	0.4900	21.5513	2.4946	0.0000	2.5000	50.3786
0.0000	0.5017	21.5802	2.5603	0.0000	2.5000	50.5621
0.0000	0.5000	21.6092	2.5574	0.0000	2.4397	50.7464
0.0000	0.4900	21.6381	2.4997	0.0000	2.4426	50.9277
0.0000	0.4900	21.6672	2.4997	0.0000	2.5000	50.9277
0.0000	0.5001	21.6962	2.5569	0.0000	2.5000	51.2907
0.0000	0.5000	21.7252	2.5543	0.0000	2.4431	51.4747
0.0000	0.4900	21.7542	2.4983	0.0000	2.4457	51.6553
0.0000	0.4900	21.7832	2.4905	0.0000	2.5000	51.8347
0.0000	0.5030	21.8122	2.5685	0.0000	2.5000	52.0172
0.0000	0.5000	21.8412	2.5497	0.0000	2.4315	52.2017
0.0000	0.4900	21.8702	2.4906	0.0000	2.4503	52.3817
0.0000	0.5000	21.8993	2.5471	0.0000	2.5000	52.5644
0.0000	0.5000	21.9282	2.5527	0.0000	2.4529	52.7482
