CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.5000	0.0000	2.5480	0.0000	2.5000	54.0561
0.0000	0.4900	0.0000	2.5194	0.0000	2.5000	54.2395
0.0000	0.4900	0.0000	2.4861	0.0000	2.5000	54.5974
0.0000	0.4944	0.0000	2.5153	0.0000	2.5000	54.9591
0.0000	0.4944	0.0000	2.5153	0.0000	2.5000	54.9591
0.0000	0.4900	0.0000	2.4910	0.0000	2.5000	55.1390
0.0000	0.4929	0.0000	2.5068	0.0000	2.5000	55.4985
0.0000	0.4900	0.0000	2.4883	0.0000	2.5000	55.8570
0.0000	0.4900	0.0000	2.4883	0.0000	2.5000	55.8570
0.0000	0.4937	0.0000	2.5089	0.0000	2.5000	56.0374
0.0000	0.4900	0.0000	2.5010	0.0000	2.5000	56.2182
0.0000	0.4900	0.0000	2.4875	0.0000	2.5000	56.5764
0.0000	0.4940	0.0000	2.5118	0.0000	2.5000	56.9378
0.0000	0.4940	0.0000	2.5118	0.0000	2.5000	56.9378
0.0000	0.4900	0.0000	2.4888	0.0000	2.5000	57.1175
0.0000	0.4936	0.0000	2.5081	0.0000	2.5000	57.4770
0.0000	0.4900	0.0000	2.4840	0.0000	2.5000	57.8350
0.0000	0.4900	0.0000	2.4840	0.0000	2.5000	57.8350
0.0000	0.4951	0.0000	2.5121	0.0000	2.5000	58.0154
0.0000	0.4900	0.0000	2.5009	0.0000	2.5000	58.1964
0.0000	0.4900	0.0000	2.4822	0.0000	2.5000	58.5539
0.0000	0.4957	0.0000	2.5171	0.0000	2.5000	58.9159
0.0000	0.4957	0.0000	2.5171	0.0000	2.5000	58.9159
0.0000	0.4900	0.0000	2.4845	0.0000	2.5000	59.0955
0.0000	0.4950	0.0000	2.5120	0.0000	2.5000	59.4549
0.0000	0.4900	0.0000	2.4797	0.0000	2.5000	59.8123
0.0000	0.4900	0.0000	2.4797	0.0000	2.5000	59.8123
0.0000	0.4965	0.0000	2.5160	0.0000	2.5000	59.9928
0.0000	0.4900	0.0000	2.5019	0.0000	2.5000	60.1742
0.0000	0.4900	0.0000	2.4787	0.0000	2.5000	60.5312
0.0000	0.4968	0.0000	2.5208	0.0000	2.5000	60.8936
0.0000	0.4968	0.0000	2.5208	0.0000	2.5000	60.8936
0.0000	0.4900	0.0000	2.4815	0.0000	2.5000	61.0732
0.0000	0.4959	0.0000	2.5147	0.0000	2.5000	61.4324
0.0000	0.4900	0.0000	2.4764	0.0000	2.5000	61.7895
0.0000	0.4900	0.0000	2.4764	0.0000	2.5000	61.7895
0.0000	0.4975	0.0000	2.5190	0.0000	2.5000	61.9701
0.0000	0.4900	0.0000	2.5024	0.0000	2.5000	62.1517
0.0000	0.4900	0.0000	2.4752	0.0000	2.5000	62.5081
0.0000	0.4979	0.0000	2.5225	0.0000	2.5000	62.6892
0.0000	0.4900	0.0000	2.4790	0.0000	2.5000	62.8685
0.0000	0.4900	0.0000	2.4790	0.0000	2.5000	62.8685
0.0000	0.4967	0.0000	2.5124	0.0000	2.5000	63.0485
0.0000	0.4900	0.0000	2.4724	0.0000	2.5000	63.4078
0.0000	0.4988	0.0000	2.5276	0.0000	2.5000	63.7713
0.0000	0.4988	0.0000	2.5276	0.0000	2.5000	63.7713
0.0000	0.4900	0.0000	2.4765	0.0000	2.5000	63.9506
